time,iteration,size,seconds,microseconds
1522544153, 292, 437643, 0, 717852
1522544154, 293, 1000535, 1, 24074
1522544156, 294, 1511855, 2, 45037
1522544161, 295, 3688570, 4, 404056
1522544163, 296, 1278476, 1, 947519
1522544165, 297, 1087667, 2, 658954
1522544168, 298, 1278476, 2, 252004
1522544168, 299, 437643, 0, 519197
1522544171, 300, 1511855, 2, 756888
1522544175, 301, 3224957, 4, 402902
1522544183, 302, 4919186, 7, 271852
1522544184, 303, 1087667, 1, 126137
1522544185, 304, 951239, 1, 532269
1522544188, 305, 1615289, 2, 355606
1522544189, 306, 1000535, 1, 842413
1522544192, 307, 1511855, 2, 501696
1522544194, 308, 1087667, 1, 594094
1522544195, 309, 1511855, 1, 843628
1522544197, 310, 1000535, 1, 521999
1522544198, 311, 1000535, 1, 137086
1522544206, 312, 4919186, 7, 885973
1522544208, 313, 1615289, 2, 558391
1522544210, 314, 1000535, 1, 842559
1522544212, 315, 1000535, 1, 842417
1522544214, 316, 951239, 1, 536716
1522544215, 317, 1278476, 1, 636523
1522544221, 318, 3688570, 5, 530673
1522544222, 319, 1000535, 1, 22867
1522544226, 320, 3224957, 4, 504819
1522544229, 321, 1615289, 2, 765102
1522544231, 322, 1000535, 1, 637180
1522544236, 323, 3688570, 5, 324547
1522544243, 324, 4919186, 6, 861324
1522544245, 325, 1000535, 1, 536905
1522544249, 326, 3224957, 4, 502625
1522544252, 327, 1615289, 2, 763745
1522544259, 328, 4919186, 7, 65204
1522544263, 329, 3224957, 3, 996618
1522544265, 330, 1511855, 1, 992605
1522544269, 331, 3224957, 4, 558622
1522544275, 332, 3688570, 6, 42399
1522544282, 333, 4919186, 6, 652574
1522544287, 334, 3688570, 5, 221615
1522544289, 335, 1087667, 1, 742380
1522544291, 336, 1278476, 2, 147862
1522544293, 337, 1511855, 2, 233913
1522544294, 338, 437643, 1, 42407
1522544297, 339, 1278476, 2, 152744
1522544298, 340, 1000535, 1, 432423
1522544301, 341, 1511855, 2, 765042
1522544303, 342, 1511855, 2, 44166
1522544304, 343, 1000535, 1, 331620
1522544310, 344, 3688570, 5, 529805
1522544311, 345, 1087667, 1, 552079
1522544318, 346, 4919186, 6, 684784
1522544321, 347, 1615289, 2, 819803
1522544326, 348, 3688570, 5, 324727
1522544331, 349, 3224957, 5, 119691
1522544333, 350, 1087667, 1, 536377
1522544340, 351, 4919186, 7, 65025
1522544340, 352, 437643, 0, 511292
1522544343, 353, 1615289, 2, 662620
1522544349, 354, 3688570, 5, 523434
1522544350, 355, 437643, 1, 232909
1522544352, 356, 1511855, 2, 561476
1522544354, 357, 1000535, 1, 532719
1522544358, 358, 3224957, 4, 96642
1522544360, 359, 1278476, 1, 846908
1522544362, 360, 1000535, 2, 452825
1522544364, 361, 1000535, 1, 637473
1522544366, 362, 1615289, 1, 945131
1522544368, 363, 1087667, 1, 948263
1522544375, 364, 4919186, 6, 959799
1522544381, 365, 4919186, 6, 655448
1522544383, 366, 1000535, 1, 125823
1522544385, 367, 1511855, 2, 254708
1522544387, 368, 1000535, 1, 942773
1522544393, 369, 4919186, 6, 548302
1522544399, 370, 3224957, 6, 46485
1522544401, 371, 951239, 1, 447082
1522544402, 372, 1000535, 1, 521014
1522544404, 373, 1000535, 1, 846025
1522544406, 374, 1087667, 2, 250427
1522544411, 375, 3224957, 4, 402091
1522544412, 376, 1087667, 1, 227964
1522544414, 377, 1278476, 1, 662340
1522544415, 378, 437643, 0, 860585
1522544416, 379, 1000535, 1, 571690
1522544420, 380, 3224957, 4, 226992
1522544427, 381, 4919186, 6, 626980
1522544428, 382, 951239, 1, 8311
1522544429, 383, 437643, 0, 937401
1522544430, 384, 1087667, 1, 148975
1522544432, 385, 1000535, 1, 615390
1522544434, 386, 1511855, 1, 944998
1522544436, 387, 1087667, 2, 47943
1522544438, 388, 1278476, 2, 149677
1522544440, 389, 951239, 2, 149503
1522544442, 390, 1087667, 1, 534754
1522544443, 391, 1087667, 1, 842871
1522544445, 392, 1087667, 1, 639953
1522544446, 393, 437643, 0, 921850
1522544447, 394, 951239, 1, 432265
1522544450, 395, 1615289, 2, 251073
1522544456, 396, 4919186, 6, 43287
1522544457, 397, 1000535, 1, 535527
1522544459, 398, 1087667, 1, 612016
1522544464, 399, 3224957, 5, 658562
1522544465, 400, 437643, 0, 716095
1522544472, 401, 3688570, 6, 448756
1522544474, 402, 1511855, 2, 354020
1522544479, 403, 3688570, 5, 431230
1522544481, 404, 1278476, 1, 533059
1522544488, 405, 4919186, 7, 268934
1522544489, 406, 437643, 0, 468771
1522544491, 407, 1278476, 2, 397637
1522544492, 408, 437643, 0, 580134
1522544498, 409, 3688570, 6, 483020
1522544499, 410, 437643, 0, 496548
1522544500, 411, 437643, 0, 936942
1522544501, 412, 1000535, 1, 127864
1522544505, 413, 1615289, 4, 117590
1522544511, 414, 3224957, 6, 121508
1522544513, 415, 1278476, 2, 48824
1522544515, 416, 951239, 1, 736789
1522544521, 417, 3224957, 6, 43845
