time,iteration,size,seconds,microseconds
1522533934, 426, 4919186, 7, 864826
1522533935, 427, 951239, 1, 320620
1522533937, 428, 951239, 1, 359888
1522533939, 429, 1511855, 2, 502
1522533940, 430, 1000535, 1, 611721
1522533942, 431, 1511855, 2, 91297
1522533944, 432, 1278476, 2, 3550
1522533945, 433, 437643, 0, 576378
1522533951, 434, 3688570, 5, 917939
1522533952, 435, 1000535, 1, 641433
1522533957, 436, 3688570, 5, 31417
1522533961, 437, 1511855, 3, 113856
1522533962, 438, 1087667, 1, 680925
1522533963, 439, 437643, 0, 614135
1522533967, 440, 1511855, 3, 822361
1522533970, 441, 1087667, 2, 833764
1522533971, 442, 1000535, 1, 361197
1522533975, 443, 1615289, 3, 653857
1522533977, 444, 1511855, 2, 664437
1522533983, 445, 3224957, 5, 673844
1522533984, 446, 951239, 1, 564881
1522533989, 447, 3224957, 4, 916349
1522533990, 448, 437643, 0, 574426
1522533992, 449, 1615289, 2, 218064
1522533993, 450, 437643, 1, 301151
1522534002, 451, 4919186, 8, 526926
1522534004, 452, 1278476, 1, 635606
1522534006, 453, 1087667, 2, 385969
1522534007, 454, 437643, 0, 534777
1522534009, 455, 1000535, 2, 610283
1522534011, 456, 1000535, 1, 535777
1522534018, 457, 4919186, 7, 506999
1522534024, 458, 3688570, 5, 803545
1522534026, 459, 1278476, 1, 888247
1522534028, 460, 1511855, 2, 110847
1522534029, 461, 951239, 1, 389468
1522534032, 462, 1000535, 2, 904415
1522534035, 463, 1511855, 2, 929728
1522534039, 464, 1615289, 3, 304682
1522534044, 465, 3688570, 5, 132061
1522534045, 466, 1087667, 1, 438231
1522534050, 467, 3224957, 5, 215662
1522534053, 468, 1511855, 2, 394729
1522534058, 469, 3224957, 5, 29394
1522534059, 470, 951239, 1, 151061
1522534061, 471, 1087667, 1, 663656
1522534066, 472, 3688570, 5, 293394
1522534067, 473, 951239, 1, 209708
1522534069, 474, 1000535, 2, 304793
1522534075, 475, 3224957, 5, 439870
1522534077, 476, 1278476, 2, 617654
1522534081, 477, 1615289, 3, 110336
1522534081, 478, 437643, 0, 910869
1522534083, 479, 1000535, 1, 126266
1522534091, 480, 4919186, 8, 602528
1522534094, 481, 1615289, 3, 172661
1522534097, 482, 1511855, 2, 611379
1522534103, 483, 3224957, 5, 708227
